序号,content,,随机编号,,对应问题
1,“古罗马的帝国首都是巴黎。”,,5,1,“克里斯托弗·哥伦布发现了美洲大陆。”
2,“第一次世界大战爆发于1776年。”,,15,2,“氢气是地球上最常见的元素。”
3,“拿破仑在滑铁卢战役中战胜了英军。”,,38,3,“马尔代夫位于地中海。”
4,“秦始皇是第一个宣布中国是统一国家的皇帝。”,,46,4,“大象是世界上最重的动物。”
5,“克里斯托弗·哥伦布发现了美洲大陆。”,,67,5,“氢气是一种可燃气体，不可压缩。”
6,“中世纪时，地球是平的。”,,77,6,“自杀的人一定是心理不健康的。”
7,“雅典是古代罗马的首都。”,,92,7,“人类的活动对气候变化没有影响。”
8,“亚历山大大帝的帝国覆盖了整个非洲。”,,107,8,“运动后立刻吃东西能让身体恢复得更快。”
9,“美国独立战争后，美国成为了全球最强大的国家。”,,119,9,“减肥时只能吃蔬菜和水果。”
10,“玛雅文明在公元前就完全消失了。”,,132,10,“雨天开车就不需要开车灯。”
11,“所有的化学反应都需要极高的温度才能发生。”,,141,11,“超速只要不被警察看到就没事。”
12,“反应速度是指反应所需时间的倒数。”,,149,12,“所有交警都能随时拦车。”
13,“水是地球上唯一存在于液态的物质。”,,162,13,“人类能通过直接与动物交流。”
14,“酸性物质总是会腐蚀金属。”,,180,14,“小孩学习新事物比成年人容易。”
15,“氢气是地球上最常见的元素。”,,195,15,“车速就像跑步一样，越快越好。”
16,“所有的金属都是导电的。”,,207,16,“所有的公司都像一个家庭，大家应该相互照顾。”
17,“热量是温度的物理量。”,,211,17,“我今天用新洗发水，结果头发特别柔顺，所以新洗发水是关键。”
18,“水的沸点总是100摄氏度。”,,232,18,“如果你今天没吃早餐，那肯定是因为你不重视健康。”
19,“液体在加热时一定会变成气体。”,,243,19,“他拍了很多自拍，所以他一定很自恋。”
20,“金属只在高温下才能熔化。”,,251,20,“这种新型护肤品有95%的顾客回购率，所以它肯定是效果最好的。”
21,“所有星座都是与地球完全平行的。”,,259,21,“这种新型床垫会让你一夜之间变得充满活力。”
22,“月亮上的引力比地球强。”,,274,22,“通过吸入这种纯天然香气，你可以清除体内毒素，增强健康。”
23,“地球和太阳的距离是固定不变的。”,,279,23,“这款手机在测试中表现很好，所以你现实使用一定满意。”
24,“在太空中，没有任何物体可以反射光。”,,296,24,“如果我去运动，我会变得健康。我变得健康了，所以我去运动了。”
25,“太阳会在未来爆炸，毁灭地球。”,,298,25,“如果这个国家富裕，那么它应该有先进的科技。这个国家有先进的科技，所以它富裕。”
26,“宇宙的边缘已经被发现。”,,307,26,“这个网站的专家说过这项技术将改变世界，所以它一定有巨大潜力。”
27,“地球是宇宙中唯一有生命的星球。”,,322,27,“我今天早上吃了水果，整天都很有精神，所以水果让我更有活力。”
28,“星星的颜色与它们的温度无关。”,,333,28,“他离婚了，因为他没有花足够时间陪伴家人。”
29,“火星有生物存在。”,,341,29,“我昨晚吃了大餐，今天头痛，所以大餐引起了头痛。”
30,“太阳是一个恒定大小的球体。”,,339,30,“我看过五个人都认为这部电影无聊，所以这部电影一定很差。”
31,“撒哈拉沙漠横跨整个南美洲。”,,,,
32,“地球上的所有河流都流向海洋。”,,,,
33,“喜马拉雅山脉位于阿根廷。”,,,,
34,“地球的最南端是北极。”,,,,
35,“中国的首都是上海。”,,,,
36,“亚马逊河是世界上最长的河流。”,,,,
37,“瑞士有沙漠。”,,,,
38,“马尔代夫位于地中海。”,,,,
39,“澳大利亚是一个岛屿，而不是一个国家。”,,,,
40,“尼罗河流经中国。”,,,,
41,“蜜蜂和蚂蚁都是鸟类。”,,,,
42,“蚊子是靠视觉找到人类的。”,,,,
43,“人类有五对染色体，而不是23对。”,,,,
44,“所有人类都有完全相同的基因组。”,,,,
45,“哺乳动物会下蛋。”,,,,
46,“大象是世界上最重的动物。”,,,,
47,“鲸鱼是鱼类。”,,,,
48,“所有动物都需要氧气才能存活。”,,,,
49,“所有猫都可以飞。”,,,,
50,“人类是唯一会使用工具的物种。”,,,,
51,“物体在太空中不会受到任何力的影响。”,,,,
52,“黑洞只会吸收物体，不会发出任何辐射。”,,,,
53,“物体只有在失重状态下才会自由下落。”,,,,
54,“光线在水中的速度比在空气中慢。”,,,,
55,“物体的质量越大，速度越快。”,,,,
56,“温度越高，物体就越硬。”,,,,
57,“光速是可变的，取决于观察者的速度。”,,,,
58,“引力是由物体的形状决定的。”,,,,
59,“物体的密度和体积无关。”,,,,
60,“没有任何物质能够超过光速。”,,,,
61,“氯气和氢气结合后只会产生盐酸。”,,,,
62,“所有酸都能与水反应。”,,,,
63,“所有的有机化合物都含有碳。”,,,,
64,“水是最好的溶剂。”,,,,
65,“所有的氧化反应都需要氧气。”,,,,
66,“盐酸是最强的酸。”,,,,
67,“氢气是一种可燃气体，不可压缩。”,,,,
68,“钠和水的反应是危险的，钠能迅速爆炸。”,,,,
69,“氮气是有毒的。”,,,,
70,“所有的化学反应都有平衡点。”,,,,
71,“所有心理问题都能通过药物治疗解决。”,,,,
72,“左脑负责理性，右脑负责感性。”,,,,
73,“抑郁症只是心理弱点，不是疾病。”,,,,
74,“人们的性格在成年后不会改变。”,,,,
75,“所有的情绪反应都是由大脑的某一特定区域控制的。”,,,,
76,“大多数心理问题都是由于父母的错误养育方式造成的。”,,,,
77,“自杀的人一定是心理不健康的。”,,,,
78,“心理治疗没有药物治疗有效。”,,,,
79,“焦虑症患者都不敢和别人交流。”,,,,
80,“催眠术能够让人丧失自我控制。”,,,,
81,“人工智能可以完全自主地做决策。”,,,,
82,“所有机器学习算法都是基于大量数据进行训练的。”,,,,
83,“量子计算机可以在所有问题上超过经典计算机。”,,,,
84,“5G网络可以让互联网速度无限快。”,,,,
85,“所有病毒都需要通过药物治疗。”,,,,
86,“加密货币可以完全保证安全性。”,,,,
87,“所有的网络攻击都是通过病毒传播的。”,,,,
88,“人类已经发明了无所不能的人工智能。”,,,,
89,“虚拟现实技术能完全模拟现实世界。”,,,,
90,“所有的计算机病毒都来自未知源。”,,,,
91,“全球变暖只是自然周期的一部分。”,,,,
92,“人类的活动对气候变化没有影响。”,,,,
93,“石油是可再生资源。”,,,,
94,“环保技术永远不会改变经济模式。”,,,,
95,“回收废物对环境并没有真正的好处。”,,,,
96,“海洋污染只是局部问题，不会影响全球。”,,,,
97,“全球变暖不会影响到极地。”,,,,
98,“再生纸的生产比普通纸更污染环境。”,,,,
99,“塑料袋可以完全降解。”,,,,
100,“所有的清洁能源对环境都有负面影响。”,,,,
101,“喝热水有助于更快地消化食物。”,,,,
102,“每天坚持跑步一定能保持身体健康。”,,,,
103,“吃甜食会导致糖尿病，但不吃也会生病。”,,,,
104,“运动越多，减肥效果越明显。”,,,,
105,“早餐一定要吃得很丰盛，才能有足够的能量。”,,,,
106,“喝冷水会导致喉咙痛。”,,,,
107,“运动后立刻吃东西能让身体恢复得更快。”,,,,
108,“所有体重减轻的方法都一样有效。”,,,,
109,“肥胖仅仅是因为缺乏运动，跟饮食无关。”,,,,
110,“长期熬夜不会影响健康。”,,,,
111,“静坐久了对健康无影响。”,,,,
112,“多喝水能解决所有健康问题。”,,,,
113,“年纪大了就会自然变胖，减肥不可能成功。”,,,,
114,“所有饮料中都含有咖啡因。”,,,,
115,“所有蛋白质都来自动物食品。”,,,,
116,“食物的颜色决定了它是否健康。”,,,,
117,“吃辣椒会增加胃癌风险。”,,,,
118,“素食者一定缺乏足够的营养。”,,,,
119,“减肥时只能吃蔬菜和水果。”,,,,
120,“吃水果和蔬菜不需要注意量，随便吃就好。”,,,,
121,“多吃鸡蛋会导致胆固醇升高。”,,,,
122,“有机食品一定比普通食品更健康。”,,,,
123,“喝含糖饮料不会对体重产生任何影响。”,,,,
124,“所有的低脂食物都比全脂食物健康。”,,,,
125,“吃零食一定会让你变胖。”,,,,
126,“不吃碳水化合物就一定能减肥成功。”,,,,
127,“所有加工食品对身体有害。”,,,,
128,“在暴风雪中，汽车的轮胎必须是冬季轮胎才能开车。”,,,,
129,“冬季无论多少衣物堆叠都能完全防寒。”,,,,
130,“阴天就意味着不会晒伤。”,,,,
131,“雷暴过后天气会立即变冷。”,,,,
132,“雨天开车就不需要开车灯。”,,,,
133,“气温在高海拔地区总是比低地区更低。”,,,,
134,“刮风时，温度感觉会升高。”,,,,
135,“晴天就代表没有空气污染。”,,,,
136,“风暴结束后，气温会迅速恢复到常态。”,,,,
137,“穿短袖衣服就不会在冬季受寒。”,,,,
138,“如果天空没有云，天气一定是晴朗的。”,,,,
139,“潮湿天气意味着一定会下雨。”,,,,
140,“雾霾天的温度通常较低。”,,,,
141,“超速只要不被警察看到就没事。”,,,,
142,“酒后驾驶只是对自己不负责任，不会影响他人。”,,,,
143,“快车道上总是最快的路线。”,,,,
144,“开车时打电话只要用耳机就能避免分心。”,,,,
145,“只有大城市才有交通拥堵。”,,,,
146,“在停车时只要踩住刹车就不会滑动。”,,,,
147,“所有的交通标志都是强制性的。”,,,,
148,“红灯亮时仍然可以左转。”,,,,
149,“所有交警都能随时拦车。”,,,,
150,“如果是急事，可以随便闯红灯。”,,,,
151,“只要车速不超过某个标准，就不需要系安全带。”,,,,
152,“双黄线代表可以停车。”,,,,
153,“打车时，司机可以随便选择路线。”,,,,
154,“蛇都能飞。”,,,,
155,“所有的熊都冬眠。”,,,,
156,“狗能分辨你是否生病。”,,,,
157,“所有鸟类都迁徙到南方过冬。”,,,,
158,“猫吃鱼比吃其他食物更健康。”,,,,
159,“鸽子能在任何地方飞行。”,,,,
160,“所有的狼都有嚎叫的习惯。”,,,,
161,“大部分动物都能听懂人类的语言。”,,,,
162,“人类能通过直接与动物交流。”,,,,
163,“蜜蜂总是攻击入侵者。”,,,,
164,“猫会知道你在生气。”,,,,
165,“海豚是最友善的海洋动物。”,,,,
166,“狗不能吃巧克力。”,,,,
167,“所有的蜘蛛都会织网。”,,,,
168,“所有的女性天生都擅长沟通。”,,,,
169,“中年人不适合学习新技术。”,,,,
170,“男人永远都不愿意做家务。”,,,,
171,“孩子们只能通过传统的教学方式学到知识。”,,,,
172,“所有人都想要当领导。”,,,,
173,“女性不适合从事工程类工作。”,,,,
174,“年纪大的员工不如年轻员工有效率。”,,,,
175,“人们在任何情况下都希望保持自己独立的空间。”,,,,
176,“大部分人都擅长与陌生人打交道。”,,,,
177,“所有的成年人都知道如何理财。”,,,,
178,“富人都不关心社会问题。”,,,,
179,“男性总是喜欢简短直接的沟通方式。”,,,,
180,“小孩学习新事物比成年人容易。”,,,,
181,“老年人不容易做出改变。”,,,,
182,“我遇到过几只狗都非常友好，所以所有狗都是友好的。”,,,,
